title,url,author,date,summary
Spain passes strict anti-protest law,http://rt.com/news/213995-spain-anti-protest-law/,RT,2014-12-12 17:33:41 UTC,"<img src=""http://cdn.rt.com/files/news/34/3e/b0/00/spain-anti-protest-law.ec.jpg"" align=""left"" style=""margin-right: 10px;"" />Spain has narrowly voted in an anti-protest law, which the government argues will ensure public security but opponents say will restrict civil liberties.<br/><a href=""http://rt.com/news/213995-spain-anti-protest-law/"">Read Full Article at RT.com</a>"
​Indonesian editor ‘amazed’ by blasphemy accusations over ISIS cartoon,http://rt.com/news/213943-indonesia-editor-isis-blasphemy/,RT,2014-12-12 16:07:53 UTC,"<img src=""http://cdn.rt.com/files/news/34/3b/70/00/indonesia-editor-accused-blasphemy.ec.jpg"" align=""left"" style=""margin-right: 10px;"" />The chief editor of Indonesia’s oldest English daily has been accused of blasphemy after the paper published an anti-Islamic State cartoon. The editor denies any wrongdoing and is “amazed” at the accusations, spurred by complaints from Islamic groups.<br/><a href=""http://rt.com/news/213943-indonesia-editor-isis-blasphemy/"">Read Full Article at RT.com</a>"
Retraining reservists and rearming! Baltic countries got bellicose over ‘Russian threat’,http://rt.com/news/213831-baltic-states-military-buildup/,RT,2014-12-12 15:55:02 UTC,"<img src=""http://cdn.rt.com/files/news/34/34/70/00/ss-1.ec.jpg"" align=""left"" style=""margin-right: 10px;"" />European countries bordering the Baltic Sea are competing to express their concerns over Russian military activities of in the region. Their actions vary from inviting Americans troops for a permanent stay to retraining reservists and rearming.<br/><a href=""http://rt.com/news/213831-baltic-states-military-buildup/"">Read Full Article at RT.com</a>"
"E. Ukraine ceasefire finally ‘real’, both sides confirm",http://rt.com/news/213827-ukraine-president-ceasefire-real/,RT,2014-12-12 14:47:56 UTC,"<img src=""http://cdn.rt.com/files/news/34/34/30/00/president-ceasefire-real.ec.jpg"" align=""left"" style=""margin-right: 10px;"" />The ceasefire in Ukraine is actually being implemented, and both sides of the conflict have acknowledged this in a rare demonstration of accord after months of mutual accusations.<br/><a href=""http://rt.com/news/213827-ukraine-president-ceasefire-real/"">Read Full Article at RT.com</a>"
ISIS leader says US prisons in Iraq led to creation of terrorist organization,http://rt.com/news/213843-isis-creation-prison-iraq/,RT,2014-12-12 13:59:30 UTC,"<img src=""http://cdn.rt.com/files/news/34/35/30/00/isis-creation-prison-iraq.ec.jpg"" align=""left"" style=""margin-right: 10px;"" />A leading member of the Islamic State has revealed the group could never have been formed without the help of the US. American prison camps in Iraq gave the Islamists the perfect opportunity to meet and plan their eventual rise to power.<br/><a href=""http://rt.com/news/213843-isis-creation-prison-iraq/"">Read Full Article at RT.com</a>"
Germany wants to send more troops to help Kurds fight ISIS,http://rt.com/news/213751-germany-plan-military-isis/,RT,2014-12-12 13:11:41 UTC,"<img src=""http://cdn.rt.com/files/news/34/2f/70/00/germany-plan-military-isis.ec.jpg"" align=""left"" style=""margin-right: 10px;"" />The German government wants to send over 100 troops to train Kurds fighting against the Islamic State in northern Iraq. Should the plan be approved by the parliament, it would require changes in the supreme law to reverse the strict military policy.<br/><a href=""http://rt.com/news/213751-germany-plan-military-isis/"">Read Full Article at RT.com</a>"
Israel threatens to review cooperation with Swiss over Geneva debate on PA territories,http://rt.com/news/213819-israel-threatens-geneva-convention/,RT,2014-12-12 13:07:29 UTC,"<img src=""http://cdn.rt.com/files/news/34/33/b0/00/threatens-geneva-convention.ec.jpg"" align=""left"" style=""margin-right: 10px;"" />Switzerland has riled Israel over its decision to host a meeting of signatory states to the Geneva Conventions, expected to slam Israel for its actions in the ""occupied territories."" Israel pledged to reconsider its future cooperation with the Swiss.<br/><a href=""http://rt.com/news/213819-israel-threatens-geneva-convention/"">Read Full Article at RT.com</a>"
"Low education budgets, universities ‘in ruins’ see thousands protest in France",http://rt.com/news/213839-france-protest-university-hollande/,RT,2014-12-12 13:02:22 UTC,"<img src=""http://cdn.rt.com/files/news/34/34/f0/00/france-protest-university-hollande.ec.jpg"" align=""left"" style=""margin-right: 10px;"" />Thousands of French university staffers and students have marched to protest low education budgets and universities’ facilities that are “literally in ruins.”<br/><a href=""http://rt.com/news/213839-france-protest-university-hollande/"">Read Full Article at RT.com</a>"
"Celibacy could cause child abuse, landmark Catholic report admits",http://rt.com/news/213755-catholic-celibacy-child-abuse/,RT,2014-12-12 09:39:44 UTC,"<img src=""http://cdn.rt.com/files/news/34/2f/b0/00/celibacy-child-abuse.ec.jpg"" align=""left"" style=""margin-right: 10px;"" />Obligatory celibacy could have contributed to child sex abuse in the Catholic Church, a group of Australian archbishops has admitted, becoming the first-ever Catholic institution to publicly acknowledge the potential link.<br/><a href=""http://rt.com/news/213755-catholic-celibacy-child-abuse/"">Read Full Article at RT.com</a>"
"Move your arsenal! US tanks, APCs, Humvees roll through Latvia (VIDEO, PHOTOS)",http://rt.com/news/213747-latvia-us-armored-vehicles/,RT,2014-12-12 08:33:01 UTC,"<img src=""http://cdn.rt.com/files/news/34/2f/30/00/latvia-us-armored-vehicles.ec.jpg"" align=""left"" style=""margin-right: 10px;"" />A freight train carrying a whole column of American armored vehicles has been caught on camera in Latvia. Dalbe Railway Station, where the train was reportedly spotted several days ago, is less than 300km from the Russian border.<br/><a href=""http://rt.com/news/213747-latvia-us-armored-vehicles/"">Read Full Article at RT.com</a>"
